08:36:27.299|I|| --------- Sistema Inicializando --------- 
08:38:52.372QIODevice::write (QSerialPort): device not open
08:38:52.372QIODevice::write (QSerialPort): device not open
08:38:52.872QIODevice::write (QSerialPort): device not open
08:38:52.872QIODevice::write (QSerialPort): device not open
08:38:53.372QIODevice::write (QSerialPort): device not open
08:38:53.372QIODevice::write (QSerialPort): device not open
08:38:53.872QIODevice::write (QSerialPort): device not open
08:38:53.872QIODevice::write (QSerialPort): device not open
08:38:54.372QIODevice::write (QSerialPort): device not open
08:38:54.372QIODevice::write (QSerialPort): device not open
08:38:54.872QIODevice::write (QSerialPort): device not open
08:38:54.872QIODevice::write (QSerialPort): device not open
08:38:55.373QIODevice::write (QSerialPort): device not open
08:38:55.373QIODevice::write (QSerialPort): device not open
08:38:55.872QIODevice::write (QSerialPort): device not open
08:38:55.873QIODevice::write (QSerialPort): device not open
08:38:56.372QIODevice::write (QSerialPort): device not open
08:38:56.373QIODevice::write (QSerialPort): device not open
08:38:56.872QIODevice::write (QSerialPort): device not open
08:38:56.873QIODevice::write (QSerialPort): device not open
08:38:57.371QIODevice::write (QSerialPort): device not open
08:38:57.371QIODevice::write (QSerialPort): device not open
08:38:57.871QIODevice::write (QSerialPort): device not open
08:38:57.872QIODevice::write (QSerialPort): device not open
08:38:58.372QIODevice::write (QSerialPort): device not open
08:38:58.373QIODevice::write (QSerialPort): device not open
08:38:58.871QIODevice::write (QSerialPort): device not open
08:38:58.872QIODevice::write (QSerialPort): device not open
08:38:59.372QIODevice::write (QSerialPort): device not open
08:38:59.372QIODevice::write (QSerialPort): device not open
08:38:59.872QIODevice::write (QSerialPort): device not open
08:38:59.873QIODevice::write (QSerialPort): device not open
08:39:00.371QIODevice::write (QSerialPort): device not open
08:39:00.372QIODevice::write (QSerialPort): device not open
08:39:00.872QIODevice::write (QSerialPort): device not open
08:39:00.872QIODevice::write (QSerialPort): device not open
08:39:01.372QIODevice::write (QSerialPort): device not open
08:39:01.372QIODevice::write (QSerialPort): device not open
08:39:01.872QIODevice::write (QSerialPort): device not open
08:39:01.872QIODevice::write (QSerialPort): device not open
08:39:02.372QIODevice::write (QSerialPort): device not open
08:39:02.373QIODevice::write (QSerialPort): device not open
08:39:02.871QIODevice::write (QSerialPort): device not open
08:39:02.872QIODevice::write (QSerialPort): device not open
08:39:03.372QIODevice::write (QSerialPort): device not open
08:39:03.372QIODevice::write (QSerialPort): device not open
08:39:03.872QIODevice::write (QSerialPort): device not open
08:39:03.873QIODevice::write (QSerialPort): device not open
08:39:04.371QIODevice::write (QSerialPort): device not open
08:39:04.372QIODevice::write (QSerialPort): device not open
08:39:04.873QIODevice::write (QSerialPort): device not open
08:39:04.873QIODevice::write (QSerialPort): device not open
08:39:05.371QIODevice::write (QSerialPort): device not open
08:39:05.371QIODevice::write (QSerialPort): device not open
08:39:05.871QIODevice::write (QSerialPort): device not open
08:39:05.871QIODevice::write (QSerialPort): device not open
08:39:06.371QIODevice::write (QSerialPort): device not open
08:39:06.371QIODevice::write (QSerialPort): device not open
08:39:06.871QIODevice::write (QSerialPort): device not open
08:39:06.871QIODevice::write (QSerialPort): device not open
08:39:07.371QIODevice::write (QSerialPort): device not open
08:39:07.372QIODevice::write (QSerialPort): device not open
08:39:07.871QIODevice::write (QSerialPort): device not open
08:39:07.871QIODevice::write (QSerialPort): device not open
08:39:08.371QIODevice::write (QSerialPort): device not open
08:39:08.372QIODevice::write (QSerialPort): device not open
08:39:08.871QIODevice::write (QSerialPort): device not open
08:39:08.872QIODevice::write (QSerialPort): device not open
08:39:09.371QIODevice::write (QSerialPort): device not open
08:39:09.372QIODevice::write (QSerialPort): device not open
08:39:09.871QIODevice::write (QSerialPort): device not open
08:39:09.871QIODevice::write (QSerialPort): device not open
08:39:10.372QIODevice::write (QSerialPort): device not open
08:39:10.372QIODevice::write (QSerialPort): device not open
08:39:10.872QIODevice::write (QSerialPort): device not open
08:39:10.872QIODevice::write (QSerialPort): device not open
08:39:11.373QIODevice::write (QSerialPort): device not open
08:39:11.374QIODevice::write (QSerialPort): device not open
08:39:11.871QIODevice::write (QSerialPort): device not open
08:39:11.872QIODevice::write (QSerialPort): device not open
08:39:12.372QIODevice::write (QSerialPort): device not open
08:39:12.373QIODevice::write (QSerialPort): device not open
08:39:12.872QIODevice::write (QSerialPort): device not open
08:39:12.873QIODevice::write (QSerialPort): device not open
08:39:13.372QIODevice::write (QSerialPort): device not open
08:39:13.372QIODevice::write (QSerialPort): device not open
08:39:13.872QIODevice::write (QSerialPort): device not open
08:39:13.872QIODevice::write (QSerialPort): device not open
08:39:14.372QIODevice::write (QSerialPort): device not open
08:39:14.372QIODevice::write (QSerialPort): device not open
08:39:14.871QIODevice::write (QSerialPort): device not open
08:39:14.871QIODevice::write (QSerialPort): device not open
08:39:15.372QIODevice::write (QSerialPort): device not open
08:39:15.372QIODevice::write (QSerialPort): device not open
08:39:15.871QIODevice::write (QSerialPort): device not open
08:39:15.871QIODevice::write (QSerialPort): device not open
08:39:16.372QIODevice::write (QSerialPort): device not open
08:39:16.372QIODevice::write (QSerialPort): device not open
08:39:16.871QIODevice::write (QSerialPort): device not open
08:39:16.872QIODevice::write (QSerialPort): device not open
08:39:17.371QIODevice::write (QSerialPort): device not open
08:39:17.371QIODevice::write (QSerialPort): device not open
08:39:17.872QIODevice::write (QSerialPort): device not open
08:39:17.872QIODevice::write (QSerialPort): device not open
08:39:18.372QIODevice::write (QSerialPort): device not open
08:39:18.372QIODevice::write (QSerialPort): device not open
08:39:18.872QIODevice::write (QSerialPort): device not open
08:39:18.873QIODevice::write (QSerialPort): device not open
08:39:19.372QIODevice::write (QSerialPort): device not open
08:39:19.372QIODevice::write (QSerialPort): device not open
08:39:19.872QIODevice::write (QSerialPort): device not open
08:39:19.873QIODevice::write (QSerialPort): device not open
08:39:20.372QIODevice::write (QSerialPort): device not open
08:39:20.372QIODevice::write (QSerialPort): device not open
08:39:20.872QIODevice::write (QSerialPort): device not open
08:39:20.873QIODevice::write (QSerialPort): device not open
08:39:21.372QIODevice::write (QSerialPort): device not open
08:39:21.373QIODevice::write (QSerialPort): device not open
08:39:21.872QIODevice::write (QSerialPort): device not open
08:39:21.872QIODevice::write (QSerialPort): device not open
08:39:22.372QIODevice::write (QSerialPort): device not open
08:39:22.372QIODevice::write (QSerialPort): device not open
08:39:22.872QIODevice::write (QSerialPort): device not open
08:39:22.872QIODevice::write (QSerialPort): device not open
08:39:23.373QIODevice::write (QSerialPort): device not open
08:39:23.373QIODevice::write (QSerialPort): device not open
08:39:23.872QIODevice::write (QSerialPort): device not open
08:39:23.873QIODevice::write (QSerialPort): device not open
08:39:24.371QIODevice::write (QSerialPort): device not open
08:39:24.371QIODevice::write (QSerialPort): device not open
08:39:24.872QIODevice::write (QSerialPort): device not open
08:39:24.872QIODevice::write (QSerialPort): device not open
08:39:25.372QIODevice::write (QSerialPort): device not open
08:39:25.372QIODevice::write (QSerialPort): device not open
08:39:25.873QIODevice::write (QSerialPort): device not open
08:39:25.873QIODevice::write (QSerialPort): device not open
08:39:26.372QIODevice::write (QSerialPort): device not open
08:39:26.373QIODevice::write (QSerialPort): device not open
08:39:26.872QIODevice::write (QSerialPort): device not open
08:39:26.872QIODevice::write (QSerialPort): device not open
08:39:27.371QIODevice::write (QSerialPort): device not open
08:39:27.372QIODevice::write (QSerialPort): device not open
08:39:27.872QIODevice::write (QSerialPort): device not open
08:39:27.872QIODevice::write (QSerialPort): device not open
08:39:28.372QIODevice::write (QSerialPort): device not open
08:39:28.372QIODevice::write (QSerialPort): device not open
08:39:28.872QIODevice::write (QSerialPort): device not open
08:39:28.872QIODevice::write (QSerialPort): device not open
08:39:29.372QIODevice::write (QSerialPort): device not open
08:39:29.372QIODevice::write (QSerialPort): device not open
08:39:29.872QIODevice::write (QSerialPort): device not open
08:39:29.872QIODevice::write (QSerialPort): device not open
08:39:30.372QIODevice::write (QSerialPort): device not open
08:39:30.372QIODevice::write (QSerialPort): device not open
08:39:30.872QIODevice::write (QSerialPort): device not open
08:39:30.872QIODevice::write (QSerialPort): device not open
08:39:31.372QIODevice::write (QSerialPort): device not open
08:39:31.372QIODevice::write (QSerialPort): device not open
08:39:31.872QIODevice::write (QSerialPort): device not open
08:39:31.872QIODevice::write (QSerialPort): device not open
08:39:32.372QIODevice::write (QSerialPort): device not open
08:39:32.373QIODevice::write (QSerialPort): device not open
08:39:32.872QIODevice::write (QSerialPort): device not open
08:39:32.872QIODevice::write (QSerialPort): device not open
08:39:33.372QIODevice::write (QSerialPort): device not open
08:39:33.372QIODevice::write (QSerialPort): device not open
08:39:33.872QIODevice::write (QSerialPort): device not open
08:39:33.872QIODevice::write (QSerialPort): device not open
08:39:34.372QIODevice::write (QSerialPort): device not open
08:39:34.372QIODevice::write (QSerialPort): device not open
08:39:34.872QIODevice::write (QSerialPort): device not open
08:39:34.872QIODevice::write (QSerialPort): device not open
08:39:35.372QIODevice::write (QSerialPort): device not open
08:39:35.372QIODevice::write (QSerialPort): device not open
08:39:35.872QIODevice::write (QSerialPort): device not open
08:39:35.872QIODevice::write (QSerialPort): device not open
08:39:36.372QIODevice::write (QSerialPort): device not open
08:39:36.372QIODevice::write (QSerialPort): device not open
08:39:36.872QIODevice::write (QSerialPort): device not open
08:39:36.872QIODevice::write (QSerialPort): device not open
08:39:37.373QIODevice::write (QSerialPort): device not open
08:39:37.373QIODevice::write (QSerialPort): device not open
08:39:37.873QIODevice::write (QSerialPort): device not open
08:39:37.873QIODevice::write (QSerialPort): device not open
08:39:38.373QIODevice::write (QSerialPort): device not open
08:39:38.373QIODevice::write (QSerialPort): device not open
08:39:38.872QIODevice::write (QSerialPort): device not open
08:39:38.873QIODevice::write (QSerialPort): device not open
08:39:39.372QIODevice::write (QSerialPort): device not open
08:39:39.373QIODevice::write (QSerialPort): device not open
08:39:39.872QIODevice::write (QSerialPort): device not open
08:39:39.873QIODevice::write (QSerialPort): device not open
08:39:40.372QIODevice::write (QSerialPort): device not open
08:39:40.372QIODevice::write (QSerialPort): device not open
08:39:40.872QIODevice::write (QSerialPort): device not open
08:39:40.872QIODevice::write (QSerialPort): device not open
08:39:41.373QIODevice::write (QSerialPort): device not open
08:39:41.373QIODevice::write (QSerialPort): device not open
08:39:41.873QIODevice::write (QSerialPort): device not open
08:39:41.873QIODevice::write (QSerialPort): device not open
08:39:42.372QIODevice::write (QSerialPort): device not open
08:39:42.373QIODevice::write (QSerialPort): device not open
08:39:42.872QIODevice::write (QSerialPort): device not open
08:39:42.873QIODevice::write (QSerialPort): device not open
08:39:43.372QIODevice::write (QSerialPort): device not open
08:39:43.373QIODevice::write (QSerialPort): device not open
08:39:43.872QIODevice::write (QSerialPort): device not open
08:39:43.873QIODevice::write (QSerialPort): device not open
08:39:44.372QIODevice::write (QSerialPort): device not open
08:39:44.372QIODevice::write (QSerialPort): device not open
08:39:44.872QIODevice::write (QSerialPort): device not open
08:39:44.872QIODevice::write (QSerialPort): device not open
08:39:45.372QIODevice::write (QSerialPort): device not open
08:39:45.372QIODevice::write (QSerialPort): device not open
08:39:45.872QIODevice::write (QSerialPort): device not open
08:39:45.872QIODevice::write (QSerialPort): device not open
08:39:46.372QIODevice::write (QSerialPort): device not open
08:39:46.373QIODevice::write (QSerialPort): device not open
08:39:46.872QIODevice::write (QSerialPort): device not open
08:39:46.873QIODevice::write (QSerialPort): device not open
08:39:47.372QIODevice::write (QSerialPort): device not open
08:39:47.373QIODevice::write (QSerialPort): device not open
08:39:47.873QIODevice::write (QSerialPort): device not open
08:39:47.873QIODevice::write (QSerialPort): device not open
08:39:48.372QIODevice::write (QSerialPort): device not open
08:39:48.373QIODevice::write (QSerialPort): device not open
08:39:48.872QIODevice::write (QSerialPort): device not open
08:39:48.873QIODevice::write (QSerialPort): device not open
08:39:49.372QIODevice::write (QSerialPort): device not open
08:39:49.372QIODevice::write (QSerialPort): device not open
08:39:49.872QIODevice::write (QSerialPort): device not open
08:39:49.872QIODevice::write (QSerialPort): device not open
08:39:50.372QIODevice::write (QSerialPort): device not open
08:39:50.373QIODevice::write (QSerialPort): device not open
08:39:50.871QIODevice::write (QSerialPort): device not open
08:39:50.872QIODevice::write (QSerialPort): device not open
08:39:51.372QIODevice::write (QSerialPort): device not open
08:39:51.372QIODevice::write (QSerialPort): device not open
08:39:51.872QIODevice::write (QSerialPort): device not open
08:39:51.872QIODevice::write (QSerialPort): device not open
08:39:52.372QIODevice::write (QSerialPort): device not open
08:39:52.372QIODevice::write (QSerialPort): device not open
08:39:52.873QIODevice::write (QSerialPort): device not open
08:39:52.873QIODevice::write (QSerialPort): device not open
08:39:53.373QIODevice::write (QSerialPort): device not open
08:39:53.373QIODevice::write (QSerialPort): device not open
08:39:53.871QIODevice::write (QSerialPort): device not open
08:39:53.872QIODevice::write (QSerialPort): device not open
08:39:54.372QIODevice::write (QSerialPort): device not open
08:39:54.372QIODevice::write (QSerialPort): device not open
08:39:54.871QIODevice::write (QSerialPort): device not open
08:39:54.872QIODevice::write (QSerialPort): device not open
08:39:55.375QIODevice::write (QSerialPort): device not open
08:39:55.375QIODevice::write (QSerialPort): device not open
08:39:55.873QIODevice::write (QSerialPort): device not open
08:39:55.873QIODevice::write (QSerialPort): device not open
08:39:56.375QIODevice::write (QSerialPort): device not open
08:39:56.375QIODevice::write (QSerialPort): device not open
08:39:56.871QIODevice::write (QSerialPort): device not open
08:39:56.872QIODevice::write (QSerialPort): device not open
08:39:57.372QIODevice::write (QSerialPort): device not open
08:39:57.372QIODevice::write (QSerialPort): device not open
08:39:57.871QIODevice::write (QSerialPort): device not open
08:39:57.872QIODevice::write (QSerialPort): device not open
08:39:58.371QIODevice::write (QSerialPort): device not open
08:39:58.371QIODevice::write (QSerialPort): device not open
08:39:58.872QIODevice::write (QSerialPort): device not open
08:39:58.872QIODevice::write (QSerialPort): device not open
08:39:59.371QIODevice::write (QSerialPort): device not open
08:39:59.372QIODevice::write (QSerialPort): device not open
08:39:59.872QIODevice::write (QSerialPort): device not open
08:39:59.872QIODevice::write (QSerialPort): device not open
08:40:00.372QIODevice::write (QSerialPort): device not open
08:40:00.373QIODevice::write (QSerialPort): device not open
08:40:00.872QIODevice::write (QSerialPort): device not open
08:40:00.872QIODevice::write (QSerialPort): device not open
08:40:01.372QIODevice::write (QSerialPort): device not open
08:40:01.373QIODevice::write (QSerialPort): device not open
08:40:01.872QIODevice::write (QSerialPort): device not open
08:40:01.873QIODevice::write (QSerialPort): device not open
08:40:02.372QIODevice::write (QSerialPort): device not open
08:40:02.372QIODevice::write (QSerialPort): device not open
08:40:02.872QIODevice::write (QSerialPort): device not open
08:40:02.872QIODevice::write (QSerialPort): device not open
08:40:03.372QIODevice::write (QSerialPort): device not open
08:40:03.372QIODevice::write (QSerialPort): device not open
08:40:03.872QIODevice::write (QSerialPort): device not open
08:40:03.872QIODevice::write (QSerialPort): device not open
08:40:04.372QIODevice::write (QSerialPort): device not open
08:40:04.372QIODevice::write (QSerialPort): device not open
08:40:04.873QIODevice::write (QSerialPort): device not open
08:40:04.873QIODevice::write (QSerialPort): device not open
08:40:05.372QIODevice::write (QSerialPort): device not open
08:40:05.373QIODevice::write (QSerialPort): device not open
08:40:05.872QIODevice::write (QSerialPort): device not open
08:40:05.873QIODevice::write (QSerialPort): device not open
08:40:06.372QIODevice::write (QSerialPort): device not open
08:40:06.373QIODevice::write (QSerialPort): device not open
08:40:06.872QIODevice::write (QSerialPort): device not open
08:40:06.873QIODevice::write (QSerialPort): device not open
08:40:07.372QIODevice::write (QSerialPort): device not open
08:40:07.373QIODevice::write (QSerialPort): device not open
08:40:07.519|I|2| --------- Sistema Desligando --------- 
08:43:28.593|I|| --------- Sistema Inicializando --------- 
08:43:28.593QIODevice::write (QSerialPort): device not open
08:43:28.594|E||Porta serial ttyUSB0 indisponivel para uso
08:43:28.599libpng warning: iCCP: known incorrect sRGB profile
08:43:28.672libpng warning: iCCP: known incorrect sRGB profile
08:43:40.048|E|2|Erro ao inicializar cameras: Lista de cameras vazia
08:43:40.048|E|2|Erro ao inicializar cameras: Lista de cameras vazia
08:43:40.314QIODevice::write (QSerialPort): device not open
08:43:40.323QIODevice::write (QSerialPort): device not open
08:43:40.839QIODevice::write (QSerialPort): device not open
08:43:40.847QIODevice::write (QSerialPort): device not open
08:43:41.363QIODevice::write (QSerialPort): device not open
08:43:41.371QIODevice::write (QSerialPort): device not open
08:43:41.817|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:41.871QIODevice::write (QSerialPort): device not open
08:43:41.872QIODevice::write (QSerialPort): device not open
08:43:41.993|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:42.371QIODevice::write (QSerialPort): device not open
08:43:42.371QIODevice::write (QSerialPort): device not open
08:43:42.617|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:42.792|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:42.892QIODevice::write (QSerialPort): device not open
08:43:42.892QIODevice::write (QSerialPort): device not open
08:43:43.241|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:43.371QIODevice::write (QSerialPort): device not open
08:43:43.371QIODevice::write (QSerialPort): device not open
08:43:43.873QIODevice::write (QSerialPort): device not open
08:43:43.873QIODevice::write (QSerialPort): device not open
08:43:44.372QIODevice::write (QSerialPort): device not open
08:43:44.372QIODevice::write (QSerialPort): device not open
08:43:44.871QIODevice::write (QSerialPort): device not open
08:43:44.871QIODevice::write (QSerialPort): device not open
08:43:45.372QIODevice::write (QSerialPort): device not open
08:43:45.372QIODevice::write (QSerialPort): device not open
08:43:45.409|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:45.872QIODevice::write (QSerialPort): device not open
08:43:45.873QIODevice::write (QSerialPort): device not open
08:43:46.368|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:46.466QIODevice::write (QSerialPort): device not open
08:43:46.466QIODevice::write (QSerialPort): device not open
08:43:46.872QIODevice::write (QSerialPort): device not open
08:43:46.873QIODevice::write (QSerialPort): device not open
08:43:47.320|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:47.415QIODevice::write (QSerialPort): device not open
08:43:47.415QIODevice::write (QSerialPort): device not open
08:43:47.496|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:47.872QIODevice::write (QSerialPort): device not open
08:43:47.872QIODevice::write (QSerialPort): device not open
08:43:48.073|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:48.372QIODevice::write (QSerialPort): device not open
08:43:48.373QIODevice::write (QSerialPort): device not open
08:43:48.521|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:43:48.871QIODevice::write (QSerialPort): device not open
08:43:48.871QIODevice::write (QSerialPort): device not open
08:43:49.372QIODevice::write (QSerialPort): device not open
08:43:49.372QIODevice::write (QSerialPort): device not open
08:43:49.872QIODevice::write (QSerialPort): device not open
08:43:49.872QIODevice::write (QSerialPort): device not open
08:43:50.372QIODevice::write (QSerialPort): device not open
08:43:50.372QIODevice::write (QSerialPort): device not open
08:43:50.871QIODevice::write (QSerialPort): device not open
08:43:50.872QIODevice::write (QSerialPort): device not open
08:43:51.371QIODevice::write (QSerialPort): device not open
08:43:51.371QIODevice::write (QSerialPort): device not open
08:43:51.871QIODevice::write (QSerialPort): device not open
08:43:51.872QIODevice::write (QSerialPort): device not open
08:43:52.372QIODevice::write (QSerialPort): device not open
08:43:52.373QIODevice::write (QSerialPort): device not open
08:43:52.874QIODevice::write (QSerialPort): device not open
08:43:52.874QIODevice::write (QSerialPort): device not open
08:43:53.371QIODevice::write (QSerialPort): device not open
08:43:53.372QIODevice::write (QSerialPort): device not open
08:43:53.871QIODevice::write (QSerialPort): device not open
08:43:53.872QIODevice::write (QSerialPort): device not open
08:43:54.379QIODevice::write (QSerialPort): device not open
08:43:54.379QIODevice::write (QSerialPort): device not open
08:43:54.872QIODevice::write (QSerialPort): device not open
08:43:54.872QIODevice::write (QSerialPort): device not open
08:43:55.607QIODevice::write (QSerialPort): device not open
08:43:55.607QIODevice::write (QSerialPort): device not open
08:43:55.872QIODevice::write (QSerialPort): device not open
08:43:55.873QIODevice::write (QSerialPort): device not open
08:43:56.372QIODevice::write (QSerialPort): device not open
08:43:56.373QIODevice::write (QSerialPort): device not open
08:43:56.872QIODevice::write (QSerialPort): device not open
08:43:56.872QIODevice::write (QSerialPort): device not open
08:43:57.372QIODevice::write (QSerialPort): device not open
08:43:57.373QIODevice::write (QSerialPort): device not open
08:43:57.872QIODevice::write (QSerialPort): device not open
08:43:57.872QIODevice::write (QSerialPort): device not open
08:43:58.371QIODevice::write (QSerialPort): device not open
08:43:58.372QIODevice::write (QSerialPort): device not open
08:43:58.872QIODevice::write (QSerialPort): device not open
08:43:58.872QIODevice::write (QSerialPort): device not open
08:43:59.371QIODevice::write (QSerialPort): device not open
08:43:59.372QIODevice::write (QSerialPort): device not open
08:43:59.872QIODevice::write (QSerialPort): device not open
08:43:59.872QIODevice::write (QSerialPort): device not open
08:44:00.372QIODevice::write (QSerialPort): device not open
08:44:00.372QIODevice::write (QSerialPort): device not open
08:44:00.871QIODevice::write (QSerialPort): device not open
08:44:00.872QIODevice::write (QSerialPort): device not open
08:44:01.371QIODevice::write (QSerialPort): device not open
08:44:01.371QIODevice::write (QSerialPort): device not open
08:44:01.872QIODevice::write (QSerialPort): device not open
08:44:01.872QIODevice::write (QSerialPort): device not open
08:44:02.372QIODevice::write (QSerialPort): device not open
08:44:02.373QIODevice::write (QSerialPort): device not open
08:44:02.872QIODevice::write (QSerialPort): device not open
08:44:02.873QIODevice::write (QSerialPort): device not open
08:44:03.372QIODevice::write (QSerialPort): device not open
08:44:03.372QIODevice::write (QSerialPort): device not open
08:44:03.872QIODevice::write (QSerialPort): device not open
08:44:03.873QIODevice::write (QSerialPort): device not open
08:44:04.372QIODevice::write (QSerialPort): device not open
08:44:04.372QIODevice::write (QSerialPort): device not open
08:44:04.872QIODevice::write (QSerialPort): device not open
08:44:04.872QIODevice::write (QSerialPort): device not open
08:44:05.372QIODevice::write (QSerialPort): device not open
08:44:05.372QIODevice::write (QSerialPort): device not open
08:44:05.872QIODevice::write (QSerialPort): device not open
08:44:05.872QIODevice::write (QSerialPort): device not open
08:44:06.372QIODevice::write (QSerialPort): device not open
08:44:06.372QIODevice::write (QSerialPort): device not open
08:44:06.872QIODevice::write (QSerialPort): device not open
08:44:06.872QIODevice::write (QSerialPort): device not open
08:44:07.372QIODevice::write (QSerialPort): device not open
08:44:07.372QIODevice::write (QSerialPort): device not open
08:44:07.871QIODevice::write (QSerialPort): device not open
08:44:07.871QIODevice::write (QSerialPort): device not open
08:44:08.371QIODevice::write (QSerialPort): device not open
08:44:08.372QIODevice::write (QSerialPort): device not open
08:44:08.872QIODevice::write (QSerialPort): device not open
08:44:08.872QIODevice::write (QSerialPort): device not open
08:44:09.371QIODevice::write (QSerialPort): device not open
08:44:09.372QIODevice::write (QSerialPort): device not open
08:44:09.873QIODevice::write (QSerialPort): device not open
08:44:09.874QIODevice::write (QSerialPort): device not open
08:44:10.371QIODevice::write (QSerialPort): device not open
08:44:10.371QIODevice::write (QSerialPort): device not open
08:44:10.871QIODevice::write (QSerialPort): device not open
08:44:10.871QIODevice::write (QSerialPort): device not open
08:44:11.372QIODevice::write (QSerialPort): device not open
08:44:11.373QIODevice::write (QSerialPort): device not open
08:44:11.872QIODevice::write (QSerialPort): device not open
08:44:11.872QIODevice::write (QSerialPort): device not open
08:44:12.372QIODevice::write (QSerialPort): device not open
08:44:12.372QIODevice::write (QSerialPort): device not open
08:44:12.872QIODevice::write (QSerialPort): device not open
08:44:12.873QIODevice::write (QSerialPort): device not open
08:44:13.372QIODevice::write (QSerialPort): device not open
08:44:13.372QIODevice::write (QSerialPort): device not open
08:44:13.872QIODevice::write (QSerialPort): device not open
08:44:13.873QIODevice::write (QSerialPort): device not open
08:44:14.371QIODevice::write (QSerialPort): device not open
08:44:14.372QIODevice::write (QSerialPort): device not open
08:44:14.874QIODevice::write (QSerialPort): device not open
08:44:14.874QIODevice::write (QSerialPort): device not open
08:44:15.371QIODevice::write (QSerialPort): device not open
08:44:15.371QIODevice::write (QSerialPort): device not open
08:44:15.874QIODevice::write (QSerialPort): device not open
08:44:15.874QIODevice::write (QSerialPort): device not open
08:44:16.372QIODevice::write (QSerialPort): device not open
08:44:16.372QIODevice::write (QSerialPort): device not open
08:44:16.879QIODevice::write (QSerialPort): device not open
08:44:16.879QIODevice::write (QSerialPort): device not open
08:44:17.372QIODevice::write (QSerialPort): device not open
08:44:17.373QIODevice::write (QSerialPort): device not open
08:44:17.872QIODevice::write (QSerialPort): device not open
08:44:17.872QIODevice::write (QSerialPort): device not open
08:44:18.372QIODevice::write (QSerialPort): device not open
08:44:18.372QIODevice::write (QSerialPort): device not open
08:44:18.872QIODevice::write (QSerialPort): device not open
08:44:18.872QIODevice::write (QSerialPort): device not open
08:44:19.372QIODevice::write (QSerialPort): device not open
08:44:19.372QIODevice::write (QSerialPort): device not open
08:44:19.872QIODevice::write (QSerialPort): device not open
08:44:19.872QIODevice::write (QSerialPort): device not open
08:44:20.371QIODevice::write (QSerialPort): device not open
08:44:20.372QIODevice::write (QSerialPort): device not open
08:44:20.871QIODevice::write (QSerialPort): device not open
08:44:20.872QIODevice::write (QSerialPort): device not open
08:44:21.372QIODevice::write (QSerialPort): device not open
08:44:21.372QIODevice::write (QSerialPort): device not open
08:44:21.872QIODevice::write (QSerialPort): device not open
08:44:21.873QIODevice::write (QSerialPort): device not open
08:44:22.371QIODevice::write (QSerialPort): device not open
08:44:22.372QIODevice::write (QSerialPort): device not open
08:44:22.872QIODevice::write (QSerialPort): device not open
08:44:22.872QIODevice::write (QSerialPort): device not open
08:44:23.372QIODevice::write (QSerialPort): device not open
08:44:23.373QIODevice::write (QSerialPort): device not open
08:44:23.872QIODevice::write (QSerialPort): device not open
08:44:23.873QIODevice::write (QSerialPort): device not open
08:44:24.372QIODevice::write (QSerialPort): device not open
08:44:24.373QIODevice::write (QSerialPort): device not open
08:44:24.872QIODevice::write (QSerialPort): device not open
08:44:24.873QIODevice::write (QSerialPort): device not open
08:44:25.373QIODevice::write (QSerialPort): device not open
08:44:25.373QIODevice::write (QSerialPort): device not open
08:44:25.872QIODevice::write (QSerialPort): device not open
08:44:25.873QIODevice::write (QSerialPort): device not open
08:44:26.372QIODevice::write (QSerialPort): device not open
08:44:26.372QIODevice::write (QSerialPort): device not open
08:44:26.872QIODevice::write (QSerialPort): device not open
08:44:26.872QIODevice::write (QSerialPort): device not open
08:44:27.372QIODevice::write (QSerialPort): device not open
08:44:27.372QIODevice::write (QSerialPort): device not open
08:44:27.872QIODevice::write (QSerialPort): device not open
08:44:27.872QIODevice::write (QSerialPort): device not open
08:44:28.372QIODevice::write (QSerialPort): device not open
08:44:28.372QIODevice::write (QSerialPort): device not open
08:44:28.872QIODevice::write (QSerialPort): device not open
08:44:28.872QIODevice::write (QSerialPort): device not open
08:44:29.371QIODevice::write (QSerialPort): device not open
08:44:29.371QIODevice::write (QSerialPort): device not open
08:44:29.871QIODevice::write (QSerialPort): device not open
08:44:29.871QIODevice::write (QSerialPort): device not open
08:44:30.372QIODevice::write (QSerialPort): device not open
08:44:30.372QIODevice::write (QSerialPort): device not open
08:44:30.872QIODevice::write (QSerialPort): device not open
08:44:30.872QIODevice::write (QSerialPort): device not open
08:44:31.372QIODevice::write (QSerialPort): device not open
08:44:31.372QIODevice::write (QSerialPort): device not open
08:44:31.872QIODevice::write (QSerialPort): device not open
08:44:31.872QIODevice::write (QSerialPort): device not open
08:44:32.371QIODevice::write (QSerialPort): device not open
08:44:32.372QIODevice::write (QSerialPort): device not open
